State,City,Airport,LocID,"Ownership","Svc Lvl","Hub","Role","Enplaned","Based Aircraft","Development Estimate 2025-2029"
Alabama,Abbeville,Abbeville Municipal,0J0,PU,GA,,Basic,0,6,"1,111,111"
Alabama,Alabaster,Shelby County,EET,PU,GA,,Regional,0,121,"3,579,016"
Alabama,Albertville,Albertville Regional/Thomas J Brumlik Field,8A0,PU,GA,,Regional,0,51,"6,050,889"
Alabama,Alexander City,Thomas C Russell Field,ALX,PU,GA,,Regional,25,21,"6,953,546"
Alabama,Aliceville,George Downer,AIV,PU,GA,,Unclassified,0,1,0
Alabama,Andalusia,South Alabama Regional at Bill Benton Field,79J,PU,GA,,Local,0,26,"7,128,388"
Alabama,Anniston,Anniston Regional,ANB,PU,GA,,Regional,0,28,"6,703,611"
Alabama,Ashland,Ashland/Lineville,26A,PU,GA,,Basic,0,10,"884,000"
Alabama,Atmore,Atmore Municipal,0R1,PU,GA,,Local,0,19,"7,926,035"
Alabama,Auburn,Auburn University Regional,AUO,PU,GA,,Regional,48,120,"13,530,312"
Alabama,Bay Minette,Bay Minette Municipal,1R8,PU,GA,,Basic,0,12,"8,391,488"
Alabama,Bessemer,Bessemer,EKY,PU,R,,National,12,136,"3,139,522"
Alabama,Birmingham,Birmingham-Shuttlesworth International,BHM,PU,P,S,,"1,499,005",222,"138,484,696"
Alabama,Brewton,Brewton Municipal,12J,PU,GA,,Local,0,21,"5,533,582"
Alabama,Butler,Butler/Choctaw County,09A,PU,GA,,Unclassified,6,0,0
Alabama,Camden,Camden Municipal,61A,PU,GA,,Basic,0,3,"1,400,000"
Alabama,Centre,Centre-Piedmont-Cherokee County Regional,PYP,PU,GA,,Local,0,21,"2,072,222"
Alabama,Centreville,Bibb County,0A8,PU,GA,,Basic,4,11,"4,398,636"
Alabama,Clanton,Chilton County,02A,PU,GA,,Local,0,22,"6,983,574"
Alabama,Clayton,Clayton Municipal,11A,PU,GA,,Unclassified,0,1,0
Alabama,Courtland,Courtland,9A4,PU,GA,,Local,0,18,"2,255,556"
Alabama,Cullman,Cullman Regional/Folsom Field,CMD,PU,GA,,Regional,3,76,"5,366,667"
Alabama,Dauphin Island,Jeremiah Denton,4R9,PU,GA,,Basic,0,0,"2,692,640"
Alabama,Decatur,Pryor Field Regional,DCU,PU,GA,,Regional,4,143,"7,767,493"
Alabama,Demopolis,Demopolis Regional,DYA,PU,GA,,Local,0,15,"3,116,666"
Alabama,Dothan,Dothan Regional,DHN,PU,P,N,,"35,658",60,"21,563,409"
Alabama,Elba,Carl Folsom,14J,PU,GA,,Local,0,28,"3,422,260"
Alabama,Enterprise,Enterprise Municipal,EDN,PU,GA,,Local,0,45,"13,280,483"
Alabama,Eufaula,Weedon Field,EUF,PU,GA,,Basic,3,14,"6,478,944"
Alabama,Evergreen,Evergreen Regional/Middleton Field,GZH,PU,GA,,Basic,0,10,"5,562,777"
Alabama,Fairhope,H. L. (Sonny) Callahan,CQF,PU,GA,,Regional,81,62,"12,581,100"
Alabama,Fayette,Richard Arthur Field,M95,PU,GA,,Basic,0,10,"3,386,696"
Alabama,Florala,Florala Municipal,0J4,PU,GA,,Basic,0,11,"3,863,601"
Alabama,Foley,Foley Municipal,5R4,PU,GA,,Local,0,39,"4,737,876"
Alabama,Fort Payne,Isbell Field,4A9,PU,GA,,Regional,0,35,"1,800,000"
Alabama,Gadsden,Northeast Alabama Regional,GAD,PU,GA,,Regional,10,32,"2,351,449"
Alabama,Geneva,Geneva Municipal,33J,PU,GA,,Local,0,21,"2,028,143"
Alabama,Greensboro,Greensboro Municipal,7A0,PU,GA,,Basic,0,9,"2,773,278"
Alabama,Greenville,MacCrenshaw Memorial,PRN,PU,GA,,Basic,2,9,"5,936,718"
Alabama,Gulf Shores,Gulf Shores International/Jack Edwards Field,JKA,PU,GA,,Regional,37,99,"23,558,554"
Alabama,Guntersville,Guntersville Municipal/Joe Starnes Field,8A1,PU,GA,,Regional,0,49,"2,216,667"
Alabama,Haleyville,Posey Field,1M4,PU,GA,,Basic,0,9,"2,418,555"
Alabama,Hamilton,Marion County-Rankin Fite,HAB,PU,GA,,Basic,0,9,"5,481,601"
Alabama,Hartselle,Hartselle/Morgan County Regional,5M0,PU,GA,,Local,0,15,"4,363,712"
Alabama,Headland,Headland Municipal,HDL,PU,GA,,Local,0,31,"7,292,790"
Alabama,Huntsville,Huntsville International-Carl T Jones Field,HSV,PU,P,S,,"724,135",84,"31,669,625"
Alabama,Huntsville,Huntsville Exec Tom Sharp Jr Field,MDQ,PU,GA,,Regional,38,81,"18,484,182"
Alabama,Jackson,Jackson Municipal,4R3,PU,GA,,Basic,6,2,"3,444,444"
Alabama,Jasper,Walker County-Bevill Field,JFX,PU,GA,,Local,0,17,"2,407,813"
Alabama,Lanett,Lanett Regional,7A3,PU,GA,,Basic,0,10,"8,871,056"
Alabama,Marion,Vaiden Field,A08,PU,GA,,Unclassified,3,3,0
Alabama,Mobile,Mobile International,BFM,PU,P,N,,"10,830",20,"22,292,959"
Alabama,Mobile,Mobile Regional,MOB,PU,P,N,,"275,342",6,"23,754,619"
Alabama,Monroeville,Monroe County Aeroplex,MVC,PU,GA,,Basic,2,10,"6,455,555"
Alabama,Montgomery,Montgomery Regional (Dannelly Field),MGM,PU,P,N,,"181,923",78,"15,603,884"
Alabama,Muscle Shoals,Northwest Alabama Regional,MSL,PU,CS,,Regional,"5,907",62,"13,327,317"
Alabama,Oneonta,Robbins Field,20A,PU,GA,,Basic,0,11,"3,558,723"
Alabama,Ozark,Ozark/Blackwell Field,71J,PU,GA,,Local,0,56,"3,065,511"
Alabama,Pell City,St Clair County,PLR,PU,R,,Regional,0,71,"1,265,188"
Alabama,Prattville,Prattville/Grouby Field,1A9,PU,GA,,Local,0,26,"1,787,393"
Alabama,Reform,North Pickens,3M8,PU,GA,,Basic,0,14,"1,726,945"
Alabama,Roanoke,Roanoke Municipal Enloe,7A5,PU,GA,,Basic,0,13,"3,999,456"
Alabama,Russellville,Bill Pugh Field,M22,PU,GA,,Basic,0,13,"13,542,378"
Alabama,Scottsboro,Scottsboro Municipal-Word Field,4A6,PU,GA,,Local,0,25,"4,731,911"
Alabama,Selma,Craig Field,SEM,PU,GA,,Local,0,18,"10,344,314"
Alabama,St. Elmo,St Elmo,2R5,PU,GA,,Local,0,18,"3,369,445"
Alabama,Sylacauga,Merkel Field Sylacauga Municipal,SCD,PU,GA,,Local,0,25,"3,637,230"
Alabama,Talladega,Talladega Municipal,ASN,PU,GA,,Regional,0,36,"8,590,558"
Alabama,Troy,Troy Municipal at N Kenneth Campbell Field,TOI,PU,GA,,Regional,2,33,"7,581,666"
Alabama,Tuscaloosa,Tuscaloosa Ntl,TCL,PU,GA,,National,"3,370",109,"48,976,157"
Alabama,Tuskegee,Moton Field Municipal,06A,PU,GA,,Basic,0,10,"6,964,806"
Alabama,Union Springs,Franklin Field,07A,PU,GA,,Basic,0,10,"5,051,667"
Alabama,Wetumpka,Wetumpka Municipal,08A,PU,GA,,Local,0,53,"3,987,771"
Alaska,Adak (Naval) Station/Mitchell Field,Adak,ADK,PU,GA,,Local,"2,149",0,"49,772,153"
Alaska,Akhiok,Akhiok,AKK,PU,GA,,Basic,651,0,"14,951,529"
Alaska,Akiachak,Akiachak,Z13,NA,CS,,Basic,"3,033",0,"5,347,640"
Alaska,Akiak,Akiak,AKI,PU,GA,,Basic,"2,367",0,"6,166,245"
Alaska,Akutan,Akutan,7AK,PU,GA,,Basic,"2,236",0,"1,507,190"
Alaska,Akutan,Akutan,KQA,PU,GA,,Basic,"1,209",0,"7,000,000"
Alaska,Alakanuk,Alakanuk,AUK,PU,GA,,Basic,"2,488",0,"1,161,949"
Alaska,Aleknagik,Aleknagik /New,5A8,PU,GA,,Basic,0,0,0
Alaska,Allakaket,Allakaket,6A8,PU,GA,,Basic,"1,481",0,"2,880,000"
Alaska,Ambler,Ambler,AFM,PU,GA,,Basic,"1,847",1,"6,910,000"
Alaska,Anaktuvuk Pass,Anaktuvuk Pass,AKP,PU,CS,,Local,"3,000",0,"13,111,100"
Alaska,Anchorage,Ted Stevens Anchorage International,ANC,PU,P,M,,"2,681,818",85,"319,008,800"
Alaska,Anchorage,Lake Hood,LHD,PU,GA,,Local,"11,800",0,"28,544,333"
Alaska,Anchorage,Merrill Field,MRI,PU,P,N,,"30,269",843,"82,053,448"
Alaska,Angoon,Angoon,AGN,PU,GA,,Basic,"2,256",0,"2,000,000"
Alaska,Aniak,Aniak,ANI,PU,CS,,Local,"4,707",0,"13,847,730"
Alaska,Anvik,Anvik,ANV,PU,GA,,Basic,558,0,"1,400,000"
Alaska,Arctic Village,Arctic Village,ARC,NA,GA,,Basic,"1,750",0,0
Alaska,Atka,Atka,AKA,PU,GA,,Basic,318,0,"1,600,000"
Alaska,Atmautluak,Atmautluak,4A2,PU,GA,,Basic,"2,403",0,"12,266,667"
Alaska,Atqasuk,Atqasuk Edward Burnell Sr Memorial,ATK,PU,GA,,Basic,"1,833",0,"9,503,856"
