0J0,Abbeville Municipal,AL,Abbeville,31.60016778,-85.23882222
EET,Shelby County,AL,Alabaster,33.17781083,-86.78323722
8A0,Albertville Regional/Thomas J Brumlik Field,AL,Albertville,34.22910972,-86.25575806
ALX,Thomas C Russell Field,AL,Alexander City,32.91475167,-85.96295611
AIV,George Downer,AL,Aliceville,33.10706889,-88.19725167
79J,South Alabama Regional at Bill Benton Field,AL,Andalusia,31.30875278,-86.39376083
ANB,Anniston Regional,AL,Anniston,33.58816667,-85.85811111
26A,Ashland/Lineville,AL,Ashland,33.28761417,-85.80412861
0R1,Atmore Municipal,AL,Atmore,31.01621528,-87.44675972
AUO,Auburn University Regional,AL,Auburn,32.61635417,-85.43355944
1R8,Bay Minette Municipal,AL,Bay Minette,30.87046278,-87.81738167
EKY,Bessemer,AL,Bessemer,33.31288444,-86.92591889
BHM,Birmingham-Shuttlesworth International,AL,Birmingham,33.56294306,-86.75354972
12J,Brewton Municipal,AL,Brewton,31.05126306,-87.06796833
09A,Butler/Choctaw County,AL,Butler,32.11931306,-88.1274625
61A,Camden Municipal,AL,Camden,31.97987056,-87.33888056
PYP,Centre-Piedmont-Cherokee County Regional,AL,Centre,None,None
0A8,Bibb County,AL,Centreville,32.93679056,-87.08888306
02A,Chilton County,AL,Clanton,32.85048667,-86.61145333
11A,Clayton Municipal,AL,Clayton,31.88329917,-85.48491361
9A4,Courtland,AL,Courtland,34.65938889,-87.34883333
CMD,Cullman Regional/Folsom Field,AL,Cullman,None,None
4R9,Jeremiah Denton,AL,Dauphin Island,30.26048083,-88.12749972
DCU,Pryor Field Regional,AL,Decatur,34.65264667,-86.94536778
DYA,Demopolis Regional,AL,Demopolis,None,None
DHN,Dothan Regional,AL,Dothan,31.32133917,-85.44962889
14J,Carl Folsom,AL,Elba,31.40988861,-86.08883583
EDN,Enterprise Municipal,AL,Enterprise,31.29972222,-85.89986111
EUF,Weedon Field,AL,Eufaula,31.95131917,-85.128925
GZH,Evergreen Regional/Middleton Field,AL,Evergreen,31.41580111,-87.04404333
CQF,H. L. (Sonny) Callahan,AL,Fairhope,None,None
M95,Richard Arthur Field,AL,Fayette,33.71221972,-87.81504639
0J4,Florala Municipal,AL,Florala,31.04247361,-86.31156111
5R4,Foley Municipal,AL,Foley,30.42769722,-87.70082
4A9,Isbell Field,AL,Fort Payne,34.4728925,-85.72221722
GAD,Northeast Alabama Regional,AL,Gadsden,33.97262528,-86.08900139
33J,Geneva Municipal,AL,Geneva,31.05527778,-85.88033333
7A0,Greensboro Municipal,AL,Greensboro,32.68147222,-87.66208333
PRN,MacCrenshaw Memorial,AL,Greenville,31.84540222,-86.61044583
JKA,Gulf Shores International/Jack Edwards Field,AL,Gulf Shores,30.28951667,-87.67371472
8A1,Guntersville Municipal/Joe Starnes Field,AL,Guntersville,34.39944167,-86.27016111
1M4,Posey Field,AL,Haleyville,34.28034806,-87.60044139
HAB,Marion County-Rankin Fite,AL,Hamilton,34.11757222,-87.99819583
5M0,Hartselle/Morgan County Regional,AL,Hartselle,34.40823444,-86.93295056
HDL,Headland Municipal,AL,Headland,None,None
HSV,Huntsville International-Carl T Jones Field,AL,Huntsville,34.6404475,-86.77310944
MDQ,Huntsville Exec Tom Sharp Jr Field,AL,Huntsville,None,None
4R3,Jackson Municipal,AL,Jackson,31.47210861,-87.89472083
